Store,TransactionID,TransactionDate,ItemID,ProductID,InventoryID,Quantity,UnitPrice,UnitCost,TotalPrice,TotalDiscount,UnitWeight,UnitWeightUnit,PackageID,BatchName,Vendor,IsReturned,IsCoupon,Discounts,DiscountAmounts,Taxes
Mint Gainesville,175845488,2026-01-12T19:32:49.593,509945274,13732557,22171509,1,18,5.51,18,10.8,0.1,g,3667679148675153,HDY.CD.RSO.DC.CO.090425.FLA,Cannabist FL,No,No,3rd Patient 60% Off (Orders $165 or LESS),10.8,
Mint Gainesville,175845488,2026-01-12T19:32:49.593,509945337,13800852,22224919,1,25,5.61,25,15,0.1,g,5987327953788515,MC.BLUB.DIST.101525.FLA,Mint Cannabis,No,No,3rd Patient 60% Off (Orders $165 or LESS),15,
Mint Gainesville,175845488,2026-01-12T19:32:49.593,509945287,13803618,22265161,1,75,27.7,75,45,1.5,g,0894553506835877,MC.C.F.THC.102125.FLA,Cannabist FL,No,No,3rd Patient 60% Off (Orders $165 or LESS),45,
Mint Gainesville,175845488,2026-01-12T19:32:49.593,509945459,13732498,22276594,1,45,17.17,45,27,1,g,1860719321717614,MC.SH.CAR.113025.FLA,Mint Cannabis,No,No,3rd Patient 60% Off (Orders $165 or LESS),27,
Mint Gainesville,175845488,2026-01-12T19:32:49.593,509945271,13798386,22276650,1,20,,20,12,0.1,g,1160660575496377,MCP.CD.RSO.DCH.102825.FLA,Mint Cannabis,No,No,3rd Patient 60% Off (Orders $165 or LESS),12,
Mint Gainesville,175845488,2026-01-12T19:32:49.593,509945338,13799546,22287689,1,28,,28,16.8,0.1,g,9138682100872630,MCP.RSO.C.BLAB.112825.FLA,Mint Cannabis,No,No,3rd Patient 60% Off (Orders $165 or LESS),16.8,
Mint Gainesville,175845488,2026-01-12T19:32:49.593,509945270,13804859,22293714,1,20,,20,12,0.1,g,7674250403798551,MCP.CD.RSO.DC.BB.120225.FLA,Mint Cannabis,No,No,3rd Patient 60% Off (Orders $165 or LESS),12,
Mint Gainesville,175845488,2026-01-12T19:32:49.593,509945275,13800512,22293715,1,20,5.61,20,12,0.1,g,9923313109540684,MCP.CD.RSO.DC.MSC.120325.FLA,Mint Cannabis,No,No,3rd Patient 60% Off (Orders $165 or LESS),12,
Mint Gainesville,175845488,2026-01-12T19:32:49.593,509945406,13804383,22300420,1,120,52,120,72,14,g,1582525632810562,MC.SRH.120925.FLA,Mint Cannabis,No,No,3rd Patient 60% Off (Orders $165 or LESS),72,
Mint Gainesville,175846353,2026-01-12T20:42:05.743,509947638,13732557,22171509,1,18,5.51,18,4.5,0.1,g,3667679148675153,HDY.CD.RSO.DC.CO.090425.FLA,Cannabist FL,No,No,25% OFF Compassionate Care,4.5,
Mint Gainesville,175846353,2026-01-12T20:42:05.743,509947626,13804385,22300421,1,35,,35,17.5,3.5,g,8827290592265918,MC.ALB.120125.FLA,Mint Cannabis,No,No,"OR Buy One at Full Price, Get One Free - Mint Cannabis 3.5",17.5,
